"","Rk","Player","Pos","Age","Tm","G","MP","PER","TS.","FTr","ORB.","DRB.","TRB.","AST.","STL.","BLK.","TOV.","USG.","OWS","DWS","WS","WS.48","OBPM","DBPM","BPM","VORP","Year","Acronym"
"1",209,"Al Horford","C",24,"ATL",77,2704,20.7,0.587,0.204,8.2,23.7,16,17.5,1.2,2.3,10.6,19.7,6.4,3.7,10.1,0.179,2.5,1.1,3.6,3.9,2011,"horfoal01"
"2",434,"Damien Wilkins","SF",31,"ATL",52,676,11.4,0.557,0.409,4.1,11.9,8,9.3,2.1,1,11.5,12.8,0.7,0.8,1.5,0.104,-2.4,1.4,-1,0.2,2011,"wilkida02"
"3",395,"Etan Thomas","C",32,"ATL",13,82,15.1,0.58,0.714,8.9,24.8,16.9,3.9,0.7,3.7,15.3,18.9,0.1,0.1,0.2,0.13,-1.9,0.3,-1.7,0,2011,"thomaet01"
"4",21,"Hilton Armstrong","C",26,"ATL",12,76,10.1,0.457,0.833,4.8,22,13.5,7.8,2.1,5,15.5,12.1,-0.1,0.1,0.1,0.054,-3.2,2,-1.2,0,2011,"armsthi01"
"5",99,"Jamal Crawford","SG",30,"ATL",76,2297,14.2,0.545,0.297,1.2,5.6,3.4,17.7,1.3,0.5,12.8,23.4,1.9,1.4,3.4,0.071,0.6,-1.6,-1,0.6,2011,"crawfja01"
"6",90,"Jason Collins","C",32,"ATL",49,593,5.4,0.539,0.577,6.1,14.5,10.4,5.3,0.8,1.2,22.6,9.2,0.1,0.5,0.6,0.049,-5.3,0.4,-4.8,-0.4,2011,"collija04"
"7",390,"Jeff Teague","PG",22,"ATL",70,963,14.6,0.521,0.319,1.4,11.3,6.4,23.3,2.5,2,15.6,20.3,0.4,1.2,1.7,0.083,-0.8,1.3,0.5,0.6,2011,"teaguje01"
"8",239,"Joe Johnson","SG",29,"ATL",72,2554,16.4,0.517,0.209,2.8,10.9,6.9,24,1,0.2,10.3,26.3,2.5,1.8,4.2,0.08,1.2,-1.5,-0.3,1.1,2011,"johnsjo02"
"9",100,"Jordan Crawford","SG",22,"ATL",16,160,7.6,0.421,0.078,6.8,14.2,10.5,16,1,0,15.8,28.1,-0.4,0.1,-0.3,-0.09,-2.8,-2.7,-5.5,-0.1,2011,"crawfjo02"
"10",338,"Josh Powell","PF",28,"ATL",54,653,8,0.492,0.216,9.1,15.8,12.5,5.5,0.4,0.6,18.9,20.4,-0.7,0.5,-0.2,-0.012,-5,-2.3,-7.3,-0.9,2011,"poweljo01"
"11",377,"Josh Smith","PF",25,"ATL",77,2645,19.2,0.54,0.304,6.2,23.7,15,17.1,2,3.5,14.3,24.7,1.9,4.5,6.4,0.116,1,1.7,2.8,3.2,2011,"smithjo03"
"12",206,"Kirk Hinrich","PG",30,"ATL",24,686,9.8,0.53,0.114,1.2,8,4.7,17.9,1.5,0.8,16,16,0.2,0.5,0.7,0.05,-1.8,0,-1.8,0,2011,"hinriki01"
"13",439,"Marvin Williams","SF",24,"ATL",65,1865,13.5,0.551,0.324,4.4,15.7,10.1,7.6,1,0.9,9.2,17.2,2.3,1.7,4,0.102,-0.3,-0.5,-0.8,0.6,2011,"willima02"
"14",136,"Maurice Evans","SF",32,"ATL",47,837,7.5,0.492,0.139,3.3,8.7,6,5.4,1,0.5,6.6,13,0.3,0.6,0.9,0.05,-3.1,-0.5,-3.7,-0.4,2011,"evansma01"
"15",44,"Mike Bibby","PG",32,"ATL",56,1674,11.7,0.57,0.104,1.1,9.1,5.1,18.9,1.2,0.3,12.8,15,1.9,1.2,3.1,0.089,-0.3,-0.3,-0.6,0.6,2011,"bibbymi01"
"16",388,"Pape Sy","SF",22,"ATL",3,21,9.2,0.478,0.5,11.6,5.7,8.6,14.5,2.6,0,29.1,23.3,0,0,0,-0.047,-3.5,-2.5,-6,0,2011,"sypa01"
"17",322,"Zaza Pachulia","C",26,"ATL",79,1244,12.4,0.562,0.772,11.6,20.6,16.1,7,1.5,1.3,18.2,14.5,1.5,1.6,3.1,0.118,-2.8,0.1,-2.8,-0.2,2011,"pachuza01"
"18",59,"Avery Bradley","PG",20,"BOS",31,162,2.2,0.36,0.179,3.2,9.3,6.5,11.9,3,0,18.1,26.1,-0.8,0.3,-0.5,-0.139,-10.8,-0.3,-11.1,-0.4,2011,"bradlav01"
"19",22,"Carlos Arroyo","PG",31,"BOS",15,190,6.7,0.447,0.343,4.8,9.8,7.4,18.6,2,0,29.7,14.5,-0.2,0.3,0.1,0.016,-4.1,1,-3,-0.1,2011,"arroyca01"
"20",237,"Chris Johnson","C",25,"BOS",4,32,9.9,0.773,0.667,4.1,14.5,9.6,4.5,0,7.3,34,8.8,0,0.1,0.1,0.118,-3,2.6,-0.4,0,2011,"johnsch03"
"21",428,"Delonte West","PG",27,"BOS",24,453,12.3,0.533,0.125,1.7,8,5,22,2.3,1.7,19.2,16.6,0.1,0.8,0.9,0.093,-0.5,2.3,1.8,0.4,2011,"westde01"
"22",109,"Glen Davis","C",25,"BOS",78,2298,12.8,0.499,0.331,5.7,16.4,11.4,6.6,1.8,1,8.5,20.9,0.6,4.3,4.9,0.102,-2.6,0.7,-1.9,0,2011,"davisgl01"
"23",177,"Jeff Green","SF",24,"BOS",26,612,12.9,0.553,0.312,3.4,13.3,8.6,5.1,1.1,2,9.1,19.8,0.5,1,1.5,0.118,-1.5,0.8,-0.7,0.2,2011,"greenje02"
"24",314,"Jermaine O'Neal","C",32,"BOS",24,431,9.2,0.504,0.394,7.6,17,12.6,4.3,0.2,5.4,17.4,17.2,-0.2,0.8,0.6,0.065,-5.4,1.3,-4.2,-0.2,2011,"onealje01"
"25",329,"Kendrick Perkins","C",26,"BOS",12,313,10.2,0.568,0.678,9.6,27.5,19.1,4.8,0.3,2.5,24.6,15.6,-0.1,0.6,0.6,0.088,-3.6,1.1,-2.5,0,2011,"perkike01"
"26",158,"Kevin Garnett*","PF",34,"BOS",71,2220,20.6,0.575,0.264,4.9,28.7,17.5,13.5,2.3,2,11.1,22.3,3.4,5.6,9,0.194,1.8,2.9,4.7,3.8,2011,"garneke01"
