"","college_Player","college_G","college_GS","college_MP","college_FG","college_FGA","college_FG.","college_2P","college_2PA","college_2P.","college_3P","college_3PA","college_3P.","college_FT","college_FTA","college_FT.","college_ORB","college_DRB","college_TRB","college_AST","college_STL","college_BLK","college_TOV","college_PF","college_PTS","college_Team","nba_G","nba_MP","nba_PER","nba_OWS","nba_DWS","nba_WS","nba_WS.48","nba_OBPM","nba_DBPM","nba_BPM","nba_VORP"
"1","A.J. Hammons",18,15.25,26.3,4.925,9.15,0.53775,4.875,9,0.5415,0.05,0.15,NA,3.175,4.55,0.692,2.475,4.825,7.3,0.8,0.425,2.5,2.225,2.6,13.05,"purdue",22,163,8.4,-0.2,0.2,0,-0.001,-6.6,0,-6.6,-0.2
"2","Aaron Gordon",18,18,31.2,4.9,10.3,0.476,4.7,9.3,0.506,0.2,0.9,0.176,2.2,5,0.444,2.7,5.2,7.9,1.7,0.8,0.6,1.2,2.6,12.2,"arizona",55.8888888888889,1587.22222222222,14.7888888888889,1.22222222222222,1.62222222222222,2.84444444444444,0.0811111111111111,-0.0333333333333333,-0.133333333333333,-0.166666666666667,0.788888888888889
"3","Aaron Harrison",18,17.5,29.85,3.75,9.7,0.387,2.35,5.2,0.4595,1.4,4.5,0.314,3.3,4,0.831,0.65,2.3,2.95,1.4,1.3,0.2,1.3,1.85,12.25,"kentucky",11.6666666666667,114.333333333333,2.4,-0.2,0.1,-0.0666666666666667,-0.058,-8.03333333333333,-0.466666666666667,-8.53333333333333,-0.133333333333333
"4","Aaron Holiday",18,12,31.9666666666667,4.8,10.5333333333333,0.450666666666667,2.9,6.3,0.463,1.9,4.16666666666667,0.434,3.26666666666667,3.96666666666667,0.813333333333333,0.533333333333333,2.66666666666667,3.2,4.76666666666667,1.03333333333333,0.166666666666667,3.13333333333333,2.86666666666667,14.6666666666667,"ucla",60.6666666666667,1146.33333333333,10.9,-0.0333333333333333,1.1,1.06666666666667,0.0456666666666667,-2.2,-0.266666666666667,-2.46666666666667,-0.133333333333333
"5","Aaron Jackson",14.5,3.5,13.4,1.125,3.1,0.3505,0.5,1.275,0.388,0.625,1.8,0.3185,0.375,0.625,0.57025,0.575,1.225,1.825,0.425,0.35,0.05,0.575,1.325,3.225,"east-carolina",1,35,2.4,0,0,0,-0.017,-6.6,-2.3,-8.9,-0.1
"6","Aaron Nesmith",9.5,9,36,5.65,12.65,0.441,2.55,6.35,0.4075,3.15,6.35,0.5045,1.3,3.05,0.418,1.15,5.05,6.2,1.1,1.85,1.3,1.5,3.65,15.75,"vanderbilt",46,669,9.4,0.5,0.6,1.1,0.076,-2.8,-0.4,-3.2,-0.2
"7","Abdel Nader",16.25,11.75,25.075,3.65,9.725,0.38275,2.45,6.05,0.42475,1.2,3.725,0.318,2.15,2.925,0.756,1.025,3.625,4.675,1.05,0.75,0.55,2.4,2.45,10.675,"northern-illinois",47,609.5,9.65,-0.025,0.75,0.7,0.05425,-2.825,0.425,-2.375,-0.05
"8","Admiral Schofield",18,12.25,26.125,4.625,9.975,0.46525,3.35,6.475,0.5215,1.275,3.55,0.3695,1.75,2.3,0.77775,1.35,4.275,5.65,1.275,0.675,0.35,1.325,2.9,12.3,"tennessee",33,368,6.1,0.1,0.1,0.1,0.017,-4.3,-1.2,-5.5,-0.3
"9","Adonis Thomas",9,9,29.45,4.45,8.8,0.5465,3.55,6.7,0.561,0.95,2.05,0.5,1.7,2.35,0.64,0.95,2.25,3.2,1.85,0.75,1.35,1.2,1.7,11.55,"memphis",4,24.6666666666667,7.73333333333333,0,0,0,0.01,-4.1,-2.06666666666667,-6.16666666666667,0
"10","Adreian Payne",16.5,10.5,20.375,3.2,6.15,0.51825,2.675,5,0.53325,0.5,1.175,NA,1.65,2.425,0.6655,1.575,3.425,4.95,0.7,0.5,0.775,1.4,2.125,8.5,"michigan-state",23.1666666666667,357,9.53333333333333,-0.35,0.166666666666667,-0.183333333333333,0.0228333333333333,-4.45,-0.666666666666667,-5.06666666666667,-0.383333333333333
